Passage,Statement,Type
"Then both groups were required to read a new set of words constructed from the original characters. In general, readers who were taught the rules of phonics could read many more new words than those trained with a whole-word procedure.
Classroom studies comparing phonics with either whole-word or whole-language instruction are also quite illuminating. One particularly persuasive study compared two programmes used in 20 first-grade classrooms
Why was this so? In short, because research had clearly demonstrated that understanding how letters related to the component sounds in words is critically important in reading. This conclusion rests, in part, on knowledge of how experienced readers make sense of words on a page. Advocates of whole-language instruction have argued forcefully that people often derive meanings directly from print without ever determining the sound of the word
The presumed benefits of whole-language instruction – and the contrast to the perceived dullness of phonics – led to its growing acceptance across American during the 1990s and a movement away from phonics.
However, many linguists and psychologists objected strongly to the abandonment of phonics in American schools
In one, called whole-word instruction, children learn by rote how to recognise at a glance a vocabulary of 50 to 100 words. Then they gradually acquire other words, often through seeing them used over and over again in the context of a story.
Speakers of most languages learn the relationship between letters and the sounds associated with them (phonemes). That is, children are taught how to use their knowledge of the alphabet to sound out words
This procedure constitutes a second approach to teaching reading – phonics.
Many schools have adopted a different approach: the whole-language method. The strategy here relies on the child's experience with the language",Research has shown that the whole-word approach is less effective than the whole-language approach.,3
"Hallucigenia, ironically, turned out to be the exception that proved the rule. It is now thought to be an ancestor of the modern group of arthropods, which includes everything from flies and butterflies to centipedes and crabs.

 

Now another misconception has been quashed
Weirdest of all was Hallucigenia, described by palaeontologist Simon Conway Morris when he re-examined Walcott’s specimens in 1979. With its multiplicity of spines and tentacles, little about Hallucigenia made sense
This turned out to be misleading because many of the creatures are so unusual that they are still difficult to classify.

 

One such example is Opabinia, a creature that grew to about 8cm (3 inches), had five eyes, a body that was a series of lobes, a tail in the shape of a fan and that ate using a long proboscis
Writing in Nature, Peter Van Roy of Yale University and his colleagues suggest that the sudden absence of such crazy soft-bodied fossils does not indicate a mass extinction, but merely an end to the unusual local circumstances that caused the creatures to be preserved
 Fauna vanished with a whimper, not a bang

Some discoveries are so unusual it takes decades and sometimes even centuries to understand their full significance. One such discovery is the fossil bed known as the ago
For its part, the Burgess Shale continues to produce an astonishing array of indefinable creatures faster than palaeontologists can examine them. The world still has plenty to learn about this wonderful life.",Researchers now believe that Hallucigenia is unrelated to any modern creature.,2
"When Polak visited him again in 1984, he had doubled the size of his vegetable plot and replaced the thatched roof on his house with corrugated tin. His family was raising a calf and some chickens. He told me that the treadle pump was a gift from God.

 Bangladesh is particularly well suited for the treadle pump because a huge reservoir of groundwater lies just a few meters below the farmers’ feet
Abdul heard about the treadle pump from a cousin and was one of the first farmers in Bangladesh to buy one. He borrowed the $25 from an uncle and easily repaid the loan four months later. During the five-month dry season, when Bangladeshis typically farm very little, Abdul used the treadle pump to grow a quarter-acre of chili peppers, tomatoes, cabbage and eggplants
In the early 1980s IDE initiated a campaign to market the pump, encouraging 75 small private-sector companies to manufacture the devices and several thousand village dealers and tube-well drillers to sell and install them. Over the next 12 years one and a half million farm families purchased treadle pumps, which increased the farmers’ net income by a total of $150 million a year
The pump is capable of working up to a maximum depth of 7 meters. Operation beyond 7 meters is not recommended to preserve the integrity of the rubber components. The pump mechanism has piston and foot valve assemblies. The treadle action creates alternate strokes in the two pistons that lift the water in pulses.

 The human-powered pump can irrigate half an acre of vegetables and costs only $25 (including the expense of drilling a tube well down to the groundwater)",Small pump spread into big project in Bangladesh in the past decade.,1
"Here are some of the advantages of incorporating regular exercise into your routine.

Improved Cardiovascular Health: Regular exercise helps strengthen the heart and improve circulation, reducing the risk of heart diseases.

Weight Management: Physical activity is crucial for maintaining a healthy weight by burning calories and boosting metabolism.

Enhanced Mental Health: Exercise releases endorphins, known as ""feel-good"" hormones, which can alleviate stress, anxiety, and depression.

Increased Muscle Strength and Flexibility: Regular workouts help build and tone muscles, improving overall strength and flexibility.

Better Sleep Quality: Those who exercise regularly often experience better sleep patterns, contributing to overall well-restedness.

Boosted Immune System: Regular physical activity has been linked to a strengthened immune system, reducing the likelihood of illness.

Improved Cognitive Function: Exercise is associated with better cognitive function, including enhanced memory and concentration.

Social Benefits: Participating in group exercises or sports provides opportunities for social interaction and can help build a sense of community.

Reduced Risk of Chronic Diseases: Regular physical activity is associated with a lower risk of chronic conditions such as diabetes, hypertension, and certain cancers.

Increased Lifespan: Studies suggest that regular exercise is linked to a longer, healthier life.
Regular exercise is widely recognized as a key component of a healthy lifestyle. Engaging in physical activity brings about numerous benefits that contribute to both physical and mental well-being",Regular exercise increases the risk of chronic diseases.,2
"By timing the transit from two widely-separated locations, teams of astronomers could calculate the parallax angle - the apparent difference in position of an astronomical body due to a difference in the observer's position. Calculating this angle would allow astronomers to measure what was then the ultimate goal: the distance of the Earth from the Sun
If we look at a star in January - when Earth is at one point in its orbit - it will seem to be in a different position from where it appears six months later. Knowing the width of Earth's orbit, the parallax shift lets astronomers calculate the distance.

June 2004's transit of Venus was thus more of an astronomical spectacle than a scientifically important event
Reasonably accurate for the time, that is quite close to today's value of 149,597,870 km, determined by radar, which has now superseded transits and all other methods in accuracy. The AU is a cosmic measuring rod, and the basis of how we scale the Universe today. The parallax principle can be extended to measure the distances to the stars
The goal was to measure the AU; then, knowing the orbital speeds of all the other planets round the Sun, the scale of the Solar System would fall into place. However, Halley realised that Mercury was so far away that its parallax angle would be very difficult to determine
This distance is known as the astronomical unit' or AU.

Halley was aware that the AU was one of the most fundamental of all astronomical measurements. Johannes Kepler, in the early 17th century, had shown that the distances of the planets from the Sun governed their orbital speeds, which were easily measurable. But no-one had found a way to calculate accurate distances to the planets from the Earth",The parallax principle allows astronomers to work out how far away distant stars are from the Earth.,1
"Moore worked in a cubicle like everyone else, never had a designated parking space and flew Economy. None of this implied lack of ambition. Moore and Noyce shared a vision, recognising that success depended just as much on intellectual pizazz as on Intel's ability to deliver a product
This was going to become the cheapest way to make electronics.'

The prediction that a chip's transistor-count – and thus its performance – would keep doubling every year soon proved so accurate that Carver Mead, a friend from Caltech, dubbed it ‘Moore's Law'. The name has stuck. ‘Moore's Law' has become the yardstick by which the exponential growth of the computer industry has been measured ever since
When, in 1975, Moore looked around him again and saw transistor-counts slowing, he predicted that in future chip-performance would double only every two years. But that proved pessimistic. Actual growth since then has split the difference between his two predictions, with performance doubling every 1 8 months.

And there's a corollary, says Moore
It proved a much more spot-on prediction than I could ever have imagined, up until then, integrated circuits had been expensive and had had principally military applications. But I could see that the economics were going to switch dramatically
By the time the competition realised what was happening, Intel had amassed a seven-year R&D lead that it was never to relinquish.

By the year 2000, Intel's Pentium-4 chip was carrying 42 million transistors. ‘Now,' says Moore, ‘we put a quarter of a billion transistors on a chip and are looking forward to a billion in the near future.' The performance gains have been phenomenal",Moore's prediction in 1975 was based on too little evidence.,3
"If the bark is stripped on a day when it's too cold - or when the air is damp - the tree will be damaged.

Cork harvesting is a very specialised profession. No mechanical means of stripping cork bark has been invented, so the job is done by teams of highly skilled workers. First, they make vertical cuts down the bark using small sharp axes, then lever it away in pieces as large as they can manage
Moreover, cork forests are a resource which support local biodiversity, and prevent desertification in the regions where they are planted. So, given the current concerns about environmental issues, the future of this ancient material once again looks promising.
The most skilful cork- strippers prise away a semi-circular husk that runs the length of the trunk from just above ground level to the first branches. It is then dried on the ground for about four months, before being taken to factories, where it is boiled to kill any insects that might remain in the cork
Cork - the thick bark of the cork oak tree (Quercus suber) - is a remarkable material. It is tough, elastic, buoyant, and fire-resistant, and suitable for a wide range of purposes
Its bark grows up to 20 cm in thickness, insulating the tree like a coat wrapped around the trunk and branches and keeping the inside at a constant 20°C all year round. Developed most probably as a defence against forest fires, the bark of the cork oak has a particular cellular structure - with about 40 million cells per cubic centimetre - that technology has never succeeded in replicating",Cork bark should be stripped in dry atmospheric conditions.,1
"None of the birds nested that year, and many died out. Medium ground finches with large bills, crowded out of feeding areas by the more powerful large ground finches, were hit particularly hard.

When wetter weather returned in 2004, and the finches nested again, the new generation of the medium ground finch was dominated by smaller birds with smaller bills, able to survive on smaller seeds
Their arrival was the first such colonization recorded on the Galápagos in nearly a century of scientific observation. ‘We realized,’ Peter Grant says, ‘we had a very unusual and potentially important event to follow.’ For 20 years, the large ground finch coexisted with the medium ground finch, which shared the supply of large seeds with its bigger-billed relative. Then, in 2002 and 2003, another drought struck
Vines and other plants that in most years struggle for survival suddenly flourished, choking out the plants that provide large seeds to the finches. Small seeds came to dominate the food supply, and big birds with big bills died out at a higher rate than smaller ones. ‘Natural selection is observable,’ Rosemary Grant says. ‘It happens when the environment changes
The island is so small that the researchers were able to count and catalogue every bird. When a severe drought hit in 1977, the birds soon devoured the last of the small, easily eaten seeds. Smaller members of the medium ground finch population, lacking the bill strength to crack large seeds, died out.

Bill and body size are inherited traits, and the next generation had a high proportion of big-billed individuals","In 2002 and 2003, all the birds were affected by the drought.",1
"One group played 50 hours of the fast-paced action video games “Call of Duty 2” and “Unreal Tournament,” and the other group played 50 hours of the slow-moving strategy game “The Sims 2.” After this training period, all of the subjects were asked to make quick decisions in several tasks designed by the researchers. The action game players were up to 25 percent faster at coming to a conclusion and answered just as many questions correctly as their strategy game playing peers.
Sometimes the player does this almost every second of the game giving the brain a real workout. According to researchers at the University of Rochester, led by Daphne Bavelier, a cognitive scientist, games simulating stressful events such as those found in battle or action games could be a training tool for real-world situations. The study suggests that playing action video games primes the brain to make quick decisions
Such games indirectly teach children about aspects of life on earth.

In an upcoming study in the journal Current Biology, authors Daphne Bavelier, Alexandre Pouget, and C. Shawn Green report that video games could provide a potent training regimen for speeding up reactions in many types of real-life situations. The researchers tested dozens of 18- to 25-year-olds who were not ordinarily video game players. They split the subjects into two groups
Young gamers force themselves to read to get instructions, follow storylines of games, and get information from the game texts.

James Paul Gee, professor of education at the University of Wisconsin-Madison, says that playing a video game is similar to working through a science problem Like students in a laboratory, gamers must come up with a hypothesis. For example, players in some games constantly try out combinations of weapons and powers to use to defeat an enemy",The action game players minimized the percentage of making mistakes in the experiment.,2
"‘We know a lot about long-term risk factors such as smoking and cholesterol， but we don't know what actually triggers heart attacks, so we can't make specific recommendations about how to prevent them,' he said.
Monday mornings have a double helping of stress for the working body as it makes a rapid transition from sleep to activity, and from the relaxing weekend to the pressures of work
They have a higher workload, more stress, more anger and more physical activity,' said Willich. ‘We need to know how these events cause changes in the body before we can understand if they cause heart attacks.'
But although it is tempting to believe that returning to work increases the risk of a heart attack, both Willich and the Italian researchers admit that it is only a partial answer
‘When people get up, their blood pressure and heart rate go up and there are hormonal changes in their bodies,' Willich explained. ‘All these things can have an adverse effect in the blood system and increase the risk of a clot in the arteries which will cause a heart attack.' ‘When people return to work after a weekend off, the pace of their life changes
Recent research from Germany and Italy shows that heart attacks are more common on Monday morning and doctors blame the stress of returning to work after the weekend break.
The risk of having a heart attack on any given day should be one in seven, but a six-year study coordinated by researchers at the Free University of Berlin of more than 2,600 Germans revealed that the average person had a 20 per cent higher chance of having a heart attack on a Monday than on any other day.
Working Germans are particularly vulnerable, with a 33 per cent higher risk at the beginning of the working week",Cholesterol and smoking cause heart attacks.,2
"So far, fewer than a thousand toxins have been scrutinized for medicinal value, and a dozen or so major drugs have made it to market. “There could be upwards of 20 million venom toxins out there waiting to be screened,” Takacs says. “It's huge
Venom has opened up whole new avenues of pharmacology.” Toxins from venom and poison sources are also giving us a clearer picture of how proteins that control many of the body's crucial cellular functions work
Its active components—those peptides and proteins, working as toxins diabetes have been derived from venom. New treatments for autoimmune diseases, cancer, and pain could be available within a decade.
“We aren't talking just a few novel drugs but entire classes of drugs,” says National Geographic Society Emerging Explorer Zoltan Takacs, a toxinologist and herpetologist
Drastically potent concoctions can result: Imagine administering poison to an adversary, then jabbing him with a knife, then finishing him off with a bullet to the head. That's venom at work.
Ironically, the properties that make venom deadly are also what make it so valuable for medicine. Many venom toxins target the same molecules that need to be controlled to treat diseases. Venom works fast and is highly specific
“To make a toxin to wreck the nervous system, it's most efficient to take a template from the brain that already works in that system, make some tiny changes, and there you have it: Now it's a toxin.” Not all venom kills, of course—bees have it as a nonlethal defense, and the male platypus uses it to show rival males who's boss during mating season",So far 20 million venom toxins have been checked for medical use.,2
"‘Most new ideas, especially controversial ones, die out pretty fast. It doesn't take science long to weed them out,' he says. Yet five years on, his idea is still not dead. On the contrary, he says the latest evidence strengthens his case
Far from causing catastrophe, however, early farmers halted the planet's descent into another ice age and kept Earth warm and stable for thousands of years.

Could a few primitive farmers really have changed the climate of the entire globe? If you find this hard to believe, you're not the only one. Ruddiman's idea has been hugely controversial ever since he proposed it in 2003
So it may seem far-fetched to suggest that humans have been causing global warming ever since our ancestors started burning and cutting forests to make way for fields at least 7,000 years ago.

Yet that's the view of retired climate scientist William Ruddiman, formerly of the University of Virginia, Charlottesville. Ancient farmers were pumping climate-warming carbon dioxide and methane into the atmosphere long before recorded history began, he says
In the late 1990s, however, Ruddiman started to suspect that our contribution to the global greenhouse began to become significant long before the industrial age began. This was when an ice core drilled at the Vostok station in Antarctica revealed how atmospheric C02 and methane levels have changed over the past 400,000 years
Here at least was a possible source for the unexpected methane rise.",Ruddimans idea caused a great deal of argument among scientists.,1
"Fortunately, the use of renewable energy is becoming increasingly popular, which means that less energy is consumed as renewable energy is generated from natural resources—such as sunlight, wind, rain, tides, and geo­thermal heat—which can be naturally replenished. Another way to help the environment, in terms of climate change, is by travelling light
Professor Mark Halton, who has completed various studies in this field, has stated: ‘with all this information and the possible action that we can take, it isn't too late to save our planet from over-heating and the even worse side-effects of our own activity
Green Peace is the organisation that is probably the most well-known. It is an international organisation that campaigns in favour of researching and promoting solutions to climate change, exposes the companies and governments that are blocking action, lobbies to change national and international policy, and bears witness to the impacts of unnecessary destruction and detrimental human activity.
The problem of climate change is without a doubt something that this generation and the generations to come need to deal with
Certain researchers, such as Dr Michael Crawley, argue: ‘even though this nat­ural phenomenon does exist it is without a doubt human activity that has worsened its effect; this is evident when comparing data regarding the earth's temperature in the last one hundred years with the one hundred years prior to that.' Some scientists, however, dispute this as Dr Ray Ellis suggests: ‘human activity may be contributing a small amount to climate change but this increase in temperature is an unavoidable fact based on the research data we have compiled.
Scientists around the globe are look­ing at all the evidence surrounding climate change and using advanced technology have come up with pre­dictions for our future environment and weather",Most people aren't willing to start using renewable energy.,2
"In every corner of the world, it has been the subject of superstition, folklore, and warfare, and has even been used as currency.

As a precious and portable commodity, salt has long been a cornerstone of economies throughout history. In fact, researcher M.R. Bloch conjectured that civilization began along the edges of the desert because of the natural surface deposits of salt found there
Hopi legend holds that the angry Warrior Twins punished mankind by placing valuable salt deposits far from civilization, requiring hard work and bravery to harvest the precious mineral. In 1933, the Dalai Lama was buried sitting up in a bed of salt
Bloch also believed that the first war – likely fought near the ancient city of Essalt on the Jordan River – could have been fought over the city’s precious supplies of the mineral.

In 2200 BC, the Chinese emperor Hsia Yu levied one of the first known taxes. He taxed salt
From manufacturing pulp and paper to setting dyes in textiles and fabric, from producing soaps and detergents to making our roads safe in winter, salt plays an essential part in our daily lives.

Salt has a long and influential role in world history. From the dawn of civilization, it has been a key factor in economic, religious, social and political development
Today, a gift of salt endures in India as a potent symbol of good luck and a reference to Mahatma Gandhi’s liberation of India.

The effects of salt deficiency are highlighted in times of war, when human bodies and national economies are strained to their limits",Hopi legend believes that salt deposits were placed far away from civilization to penalize mankind,1
